"","yardline_100","quarter_seconds_remaining","goal_to_go","ydstogo","ydsnet","yards_gained","shotgun","no_huddle","air_yards","yards_after_catch","score_differential","first_down_pass","interception","jax_score","opp_score","jax_timeouts_remaining","opp_timeouts_remaining","side_of_field_MID","side_of_field_OPP","qtr_2","qtr_3","qtr_4","down_2","down_3","down_4","pass_length_short","pass_location_middle","pass_location_right","td_team_1","td_team_2"
"265",0.56701030927835,0.0601336302895323,0,0.181818181818182,0.826923076923077,0.166666666666667,1,0,0.290322580645161,0.0340909090909091,0.0566037735849057,1,0,0.578947368421053,0.155555555555556,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0
"269",0.0206185567010309,0.880846325167038,1,0.0606060606060606,0.826923076923077,0.1,1,0,0.193548387096774,0.0340909090909091,0.0566037735849057,1,0,0.578947368421053,0.288888888888889,0.666666666666667,1,0,0,0,0,1,0,0,0,1,0,0,0,1
"273",0.721649484536082,0.246102449888641,0,0.333333333333333,0.25,0.255555555555556,1,0,0.403225806451613,0.0454545454545455,0.0754716981132075,1,0,0.763157894736842,0.333333333333333,0.333333333333333,1,0,1,0,0,1,1,0,0,0,1,0,0,0
"277",0.855670103092783,0.169265033407572,0,0.484848484848485,0.144230769230769,0.188888888888889,1,0,0.129032258064516,0.170454545454545,0.0754716981132075,0,0,0.763157894736842,0.333333333333333,0.333333333333333,0,0,1,0,0,1,0,1,0,1,0,1,0,0
"279",0.824742268041237,0.99554565701559,0,0.272727272727273,0.557692307692308,0.177777777777778,0,0,0.306451612903226,0.0340909090909091,0.339622641509434,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
"280",0.577319587628866,0.844097995545657,0,0.212121212121212,0.557692307692308,0.166666666666667,1,0,0.129032258064516,0.147727272727273,0.339622641509434,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0
"285",0.45360824742268,0.608017817371938,0,0.515151515151515,0.557692307692308,0.188888888888889,1,0,0.0483870967741935,0.227272727272727,0.339622641509434,0,0,0,0,1,0.666666666666667,0,0,0,0,0,0,1,0,1,0,0,0,0
"286",0.938144329896907,0.288418708240535,0,0.212121212121212,0.298076923076923,0.188888888888889,1,0,0.32258064516129,0.0340909090909091,0.39622641509434,1,0,0,0.0666666666666667,1,0.666666666666667,0,1,0,0,0,0,1,0,1,0,0,0,0
"288",0.762886597938144,0.906458797327394,0,0.121212121212121,0.875,0.211111111111111,1,0,0.338709677419355,0.0454545454545455,0.39622641509434,1,0,0,0.0666666666666667,1,0.666666666666667,0,1,1,0,0,1,0,0,1,1,0,0,0
"289",0.556701030927835,0.783964365256125,0,0.0606060606060606,0.875,0.155555555555556,1,0,0.274193548387097,0.0340909090909091,0.39622641509434,1,0,0,0.0666666666666667,1,0.666666666666667,0,1,1,0,0,0,1,0,1,0,1,0,0
"290",0.391752577319588,0.623608017817372,0,0.0303030303030303,0.875,0.2,1,0,0.161290322580645,0.159090909090909,0.39622641509434,1,0,0,0.0666666666666667,1,0.666666666666667,0,0,1,0,0,0,0,1,1,0,0,0,0
"291",0,0.396436525612472,1,0,0.875,0.0777777777777778,1,0,0.145161290322581,0.0454545454545455,0.39622641509434,1,0,0,0.2,1,0.666666666666667,0,0,1,0,0,0,0,0,1,1,0,0,1
"295",0.556701030927835,0.044543429844098,0,0.0606060606060606,0.442307692307692,0.155555555555556,1,0,0.193548387096774,0.0909090909090909,0.452830188679245,1,0,0.0789473684210526,0.2,1,0.666666666666667,0,1,1,0,0,0,1,0,1,1,0,0,0
"297",0.577319587628866,0.0233853006681514,0,0.575757575757576,0.442307692307692,0.255555555555556,1,0,0.241935483870968,0.159090909090909,0.452830188679245,0,0,0.0789473684210526,0.2,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0
"300",0.371134020618557,0.542316258351893,0,0.363636363636364,0.355769230769231,0.266666666666667,0,0,0.387096774193548,0.0681818181818182,0.452830188679245,1,0,0.0789473684210526,0.2,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0
"301",0.288659793814433,0.477728285077951,0,0.575757575757576,0.355769230769231,0.188888888888889,1,0,0.0645161290322581,0.215909090909091,0.452830188679245,0,0,0.0789473684210526,0.2,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0
"306",0,0.289532293986637,1,0,0.134615384615385,0.0777777777777778,1,0,0.161290322580645,0.0340909090909091,0.641509433962264,1,0,0.0789473684210526,0.555555555555556,0.666666666666667,0.666666666666667,0,0,0,0,1,1,0,0,1,1,0,0,1
"308",0.402061855670103,0.219376391982183,0,0.363636363636364,0.836538461538462,0.222222222222222,1,0,0.241935483870968,0.125,0.207547169811321,1,0,0.184210526315789,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0
